挺,21
躺,21
千,21
待,21
’,21
剧,21
远,21
彩,21
梯,21
室,21
堆,21
角,21
木,21
拍,21
滑,21
流,21
偷,21
炒,21
傻,21
丁,21
视,21
油,21
擦,21
虫,21
扎,21
箩,21
蓝,21
厨,21
嚷,20
处,20
扑,20
嗒,20
思,20
期,20
休,20
吱,20
喝,20
命,20
足,20
害,20
骑,20
报,20
低,20
腿,20
秋,20
哑,20
业,20
伸,20
刀,20
纺,20
饼,20
.,19
功,19
躲,19
呆,19
嘟,19
另,19
抬,19
飘,19
海,19
药,19
仔,19
食,19
闭,19
滴,19
影,19
静,19
闪,19
续,19
留,19
龙,19
踩,19
姨,19
线,19
突,19
取,19
餐,19
零,18
串,18
图,18
腰,18
汽,18
追,18
幸,18
随,18
钱,18
糊,18
扔,18
微,18
咬,18
翘,18
搬,18
猪,18
平,18
姐,18
扫,18
浴,18
淘,18
晨,17
椅,17
摸,17
仙,17
‘,17
合,17
热,17
试,17
息,17
鼓,17
养,17
2,17
裤,17
溜,17
冒,17
夹,17
激,17
甚,17
扭,17
遍,17
苗,17
泡,17
钓,17
级,17
深,17
哆,17
尔,17
鹿,16
嘭,16
乎,16
泥,16
曲,16
剩,16
目,16
运,16
架,16
单,16
锵,16
升,16
梦,16
甄,16
懂,16
左,16
右,16
刻,16
部,16
客,16
确,16
梳,16
幼,16
羊,16
丫,16
剪,16
绝,15
套,15
齐,15
嘀,15
及,15
弄,15
竹,15
举,15
米,15
味,15
楚,15
立,15
晃,15
搞,15
痛,15
哦,15
助,15
乘,15
熟,15
摔,15
窝,15
隔,15
捡,15
蜜,15
短,15
喵,15
凉,15
搭,15
李,15
凳,15
麦,15
贴,15
獾,15
宇,15
饿,14
聪,14
妙,14
隆,14
领,14
容,14
敢,14
层,14
担,14
具,14
硬,14
传,14
拳,14
棒,14
杯,14
冰,14
钩,14
泪,14
恼,14
释,14
针,14
墙,14
盘,14
蟹,14
哧,14
招,14
糖,14
绳,14
苹,14
毡,14
粗,14
称,14
臭,14
茜,14
扣,13
笔,13
忽,13
悠,13
切,13
尽,13
露,13
求,13
形,13
围,13
稀,13
哎,13
丈,13
苦,13
止,13
祖,13
各,13
骂,13
体,13
螃,13
坡,13
狸,13
铃,13
漏,13
哗,13
初,13
页,13
航,13
文,12
摆,12
橡,12
糟,12
瞪,12
歪,12
顺,12
决,12
珠,12
锅,12
守,12
虽,12
考,12
猛,12
透,12
规,12
端,12
洞,12
竟,12
巧,12
7,12
辫,12
撒,12
壁,12
磨,12
或,12
轰,12
狐,12
贝,12
蘑,12
菇,12
藤,12
净,12
盆,12
矮,12
伴,12
锯,12
兄,12
瓶,12
鳄,12
奏,12
缸,12
赌,12
墨,12
嗦,12
唉,11
抽,11
弹,11
系,11
万,11
备,11
嘻,11
众,11
懒,11
压,11
瘦,11
扁,11
丑,11
篮,11
辆,11
虹,11
喇,11
叭,11
荡,11
3,11
舒,11
齿,11
补,11
科,11
交,11
料,11
店,11
须,11
缝,11
笨,11
帆,11
圈,11
乌,11
冬,11
桑,11
啪,11
夸,11
卫,11
宽,11
兜,11
摘,11
欠,11
杀,11
俩,11
丛,11
示,11
录,11
娜,11
塞,10
昨,10
拾,10
偏,10
独,10
词,10
厅,10
言,10
粮,10
加,10
顾,10
假,10
鹅,10
洋,10
吼,10
嘛,10
支,10
阵,10
矩,10
闻,10
掌,10
踢,10
迷,10
紫,10
模,10
继,10
必,10
浪,10
靠,10
抢,10
伤,10
并,10
者,10
喔,10
姓,10
砰,10
桥,10
咯,10
号,10
溪,10
眯,10
抹,10
趣,10
嘎,10
扯,10
敬,10
裙,10
塔,10
凤,10
终,10
改,10
浣,10
核,10
浅,10
玛,10
1,9
折,9
脱,9
由,9
昏,9
份,9
哼,9
坑,9
差,9
桶,9
箱,9
城,9
铁,9
舞,9
惯,9
枕,9
失,9
鸦,9
砸,9
貌,9
费,9
喂,9
世,9
保,9
肩,9
令,9
怜,9
馋,9
咖,9
啡,9
碎,9
哨,9
杨,9
枝,9
捉,9
吐,9
挖,9
甲,9
采,9
割,9
碗,9
汤,9
肥,9
卖,9
户,9
赞,9
谎,9
粉,9
凰,9
暴,9
琴,9
膏,9
索,9
诏,9
彼,9
列,9
冷,8
嘿,8
哩,8
睁,8
捧,8
叹,8
盒,8
囔,8
易,8
调,8
建,8
将,8
慰,8
堂,8
央,8
钉,8
度,8
亏,8
巾,8
证,8
血,8
沿,8
化,8
界,8
辈,8
量,8
街,8
专,8
烧,8
论,8
腾,8
8,8
密,8
芝,8
笛,8
肉,8
渐,8
温,8
坚,8
沉,8
商,8
玉,8
唤,8
膀,8
蚱,8
啥,8
笼,8
蜗,8
荷,8
田,8
喷,8
赢,8
任,8
祝,8
野,8
梨,8
怀,8
跷,8
订,8
封,8
责,8
嗨,8
拽,8
婶,8
符,8
庭,8
牌,8
A,8
T,8
蒂,8
近,7
咦,7
居,7
铅,7
《,7
》,7
犯,7
存,7
联,7
计,7
达,7
典,7
酒,7
凶,7
吊,7
迎,7
喘,7
讨,7
租,7
查,7
广,7
烂,7
勤,7
挤,7
卡,7
眨,7
迟,7
雷,7
耐,7
拎,7
希,7
（,7
）,7
6,7
5,7
骗,7
首,7
概,7
捣,7
斗,7
付,7
茶,7
瓣,7
逃,7
蓬,7
脖,7
驴,7
暖,7
嗡,7
炮,7
瞅,7
酸,7
便,7
伞,7
染,7
裳,7
撞,7
编,7
牵,7
团,7
群,7
澡,7
引,7
嫌,7
妇,7
警,7
扮,7
搓,7
劳,7
持,7
夕,7
农,7
握,7
嚓,7
棚,7
樱,7
涂,7
厉,7
愉,7
输,7
战,7
誓,7
究,7
超,7
S,7
咳,6
搁,6
谈,6
眉,6
拱,6
扛,6
医,6
鲜,6
怨,6
遇,6
显,6
拼,6
断,6
胜,6
负,6
何,6
奔,6
咱,6
蹲,6
险,6
吞,6
英,6
汗,6
